CHARACTER DISTANCE,FOOD DISTANCE,SKILL LEVEL,STEERING ACTION
226.22,360.694,14,DANCING
226.202,360.694,14,DANCING
226.187,360.694,14,DANCING
226.174,360.694,14,DANCING
226.162,360.694,14,DANCING
227.954,360.694,14,DANCING
228.531,360.694,14,DANCING
229.816,360.694,14,DANCING
230.588,360.694,14,DANCING
231.626,360.694,14,DANCING
232.437,360.694,14,DANCING
233.337,360.694,14,DANCING
234.126,360.694,14,DANCING
234.933,360.694,14,DANCING
235.679,360.694,14,DANCING
236.416,360.694,14,DANCING
237.113,360.694,14,DANCING
237.79,360.694,14,DANCING
238.437,360.694,14,DANCING
239.062,360.694,14,DANCING
239.661,360.694,14,DANCING
240.239,360.694,14,DANCING
240.793,360.694,14,DANCING
241.326,360.694,14,DANCING
243.643,360.694,14,DANCING
244.722,360.694,14,DANCING
246.489,360.694,14,DANCING
247.724,360.694,14,DANCING
249.205,360.694,14,DANCING
250.442,360.694,16,WANDERING
251.749,360.694,16,DANCING
252.93,360.694,16,DANCING
254.114,360.694,16,DANCING
255.22,360.694,16,DANCING
256.304,360.694,16,DANCING
257.332,360.694,16,DANCING
258.329,360.694,16,DANCING
259.282,360.694,16,DANCING
260.201,360.694,16,DANCING
261.082,360.694,16,DANCING
261.93,360.694,16,DANCING
262.744,360.694,16,DANCING
263.527,360.694,16,DANCING
264.28,360.694,16,DANCING
265.003,360.694,16,DANCING
265.698,360.694,16,DANCING
266.366,360.694,16,DANCING
267.008,360.694,16,DANCING
267.625,360.694,16,DANCING
268.218,360.694,16,DANCING
268.788,360.694,16,DANCING
269.335,360.694,16,DANCING
269.862,360.694,16,DANCING
270.367,360.694,16,DANCING
270.854,360.694,16,DANCING
271.321,360.694,16,DANCING
272.668,360.694,16,DANCING
273.392,360.694,16,DANCING
274.454,360.694,16,DANCING
275.243,360.694,18,WANDERING
276.15,360.694,18,DANCING
276.929,360.694,18,DANCING
277.738,360.694,18,DANCING
278.478,360.694,18,DANCING
279.214,360.694,18,DANCING
279.907,360.694,18,DANCING
280.583,360.694,18,DANCING
281.227,360.694,18,DANCING
281.851,360.694,18,DANCING
282.448,360.694,18,DANCING
283.024,360.694,18,DANCING
283.576,360.694,18,DANCING
284.108,360.694,18,DANCING
284.62,360.694,18,DANCING
285.112,360.694,18,DANCING
285.585,360.694,18,DANCING
286.039,360.694,18,DANCING
286.476,360.694,18,DANCING
286.897,360.694,18,DANCING
287.301,360.694,18,DANCING
287.69,360.694,18,DANCING
288.063,360.694,18,DANCING
288.422,360.694,18,DANCING
288.768,360.694,18,DANCING
290.032,360.694,18,DANCING
290.655,360.694,18,DANCING
291.633,360.694,18,DANCING
292.334,360.694,18,DANCING
293.162,360.694,18,DANCING
293.861,360.694,20,WANDERING
294.597,360.694,20,DANCING
295.265,360.694,20,DANCING
295.933,360.694,20,DANCING
296.56,360.694,20,DANCING
297.173,360.694,20,DANCING
297.757,360.694,20,DANCING
298.322,360.694,20,DANCING
298.864,360.694,20,DANCING
299.386,360.694,20,DANCING
299.888,360.694,20,DANCING
300.371,360.694,20,DANCING
300.836,360.694,20,DANCING
301.283,360.694,20,DANCING
301.712,360.694,20,DANCING
302.126,360.694,20,DANCING
302.523,360.694,20,DANCING
302.905,360.694,20,DANCING
303.273,360.694,20,DANCING
303.627,360.694,20,DANCING
303.967,360.694,20,DANCING
304.294,360.694,20,DANCING
304.608,360.694,20,DANCING
305.877,360.694,20,DANCING
306.483,360.694,20,DANCING
307.459,360.694,20,DANCING
308.148,360.694,20,DANCING
308.971,360.694,20,DANCING
309.662,360.694,20,DANCING
310.391,360.694,20,DANCING
311.051,360.694,22,WANDERING
311.713,360.694,22,DANCING
312.334,360.694,22,DANCING
312.941,360.694,22,DANCING
313.519,360.694,22,DANCING
314.079,360.694,22,DANCING
314.615,360.694,22,DANCING
315.132,360.694,22,DANCING
315.629,360.694,22,DANCING
316.107,360.694,22,DANCING
316.567,360.694,22,DANCING
317.01,360.694,22,DANCING
317.435,360.694,22,DANCING
317.844,360.694,22,DANCING
318.238,360.694,22,DANCING
318.616,360.694,22,DANCING
318.98,360.694,22,DANCING
319.33,360.694,22,DANCING
319.667,360.694,22,DANCING
319.99,360.694,22,DANCING
320.301,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,22,DANCING
321.599,360.694,24,WANDERING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
